batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,100,1,0.9176,0.0265
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,100,1,0.9176,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,100,1,0.9176,0.0061
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,40,10,0.9176,0.3881
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,40,10,0.9176,0.0243
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,40,10,0.9176,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,40,10,0.9176,0.0047
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,100,10,0.9176,0.3875
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,100,10,0.9176,0.0232
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,100,10,0.9176,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,100,10,0.9176,0.0048
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,40,1,0.9143,0.4144
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,40,1,0.9143,0.0389
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,40,1,0.9143,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,40,1,0.9143,0.0089
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,100,1,0.9143,0.4127
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,100,1,0.9143,0.0374
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,100,1,0.9143,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,100,1,0.9143,0.0089
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,40,10,0.9143,0.4065
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,40,10,0.9143,0.0354
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,40,10,0.9143,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,40,10,0.9143,0.0081
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,100,10,0.9143,0.4045
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,l2,100,10,0.9143,0.0352
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_1_freeze_0_008,linf,100,10,0.9143,0.0
